codigo,descricao,quantidade,local,data_hora,responsavel,observacao
813180,Tampa do Pivo,2,Pivo,02/10/2025 00:00:00,,
813025,Ventoinha,52,Pivo,02/10/2025 00:00:00,,
813144,Suporte do imã pequeno,306,Kit,02/10/2025 00:00:00,,
813331,Suporte do imã grande,298,Kit,02/10/2025 00:00:00,,
804248,Tampa da central,1,DZ,02/10/2025 00:00:00,,
813199,Base de alumínio DZ,29,DZ,08/10/2025 00:00:00,,
813271,Carcaça BV3 inferior,6,Furadeiras,08/10/2025 00:00:00,,
813270,Carcaça BV3 superior,11,Furadeiras,08/10/2025 00:00:00,,
813259,Carcaça New BV com encoder,4,Furadeiras,08/10/2025 00:00:00,,
813258,Carcaça New BV inferior,6,Furadeiras,08/10/2025 00:00:00,,
813265,Carcaça New BV superior,27,Furadeiras,08/10/2025 00:00:00,,
813037,Engrenagem DZ antiga,2,Roginei,08/10/2025 00:00:00,,
813096,Engrenagem ext DZ nova,17,Roginei,08/10/2025 00:00:00,,
813094,Engrenagem 1 entrada nylon,10,Roginei,13/10/2025 00:00:00,,
813033,Tampa da ventoinha,6,Pivo,13/10/2025 00:00:00,,
813025,Ventoinha,167,Motor DZ,13/10/2025 00:00:00,,
813529,Disco do encoder Fêmea,45,Roginei,13/10/2025 00:00:00,,
813241,Base Inferior Industrial,1,NBV,17/10/2025 00:00:00,,
813153,Base superior Industrial,1,NBV,17/10/2025 00:00:00,,
813271,Carcaça BV3 inferior,42,Pivo,17/10/2025 00:00:00,,
813270,Carcaça BV3 superior,29,Pivo,17/10/2025 00:00:00,,
813259,Carcaça New BV com encoder,19,NBV,17/10/2025 00:00:00,,
813258,Carcaça New BV inferior,10,NBV,17/10/2025 00:00:00,,
813265,Carcaça New BV superior,21,NBV,17/10/2025 00:00:00,,
813310,Cilindro da chave,24,Pivo,17/10/2025 00:00:00,,
813096,Engrenagem ext DZ nova,10,Roginei,17/10/2025 00:00:00,,
813281,Suporte orelha do BV,101,Pivo e kit,17/10/2025 00:00:00,,
813199,Base de alumínio DZ,48,Deslizante,23/10/2025 00:00:00,,
813241,Base Inferior Industrial,1,Industrial,23/10/2025 00:00:00,,
813271,Carcaça BV3 inferior,23,BV  e Furadeiras,23/10/2025 00:00:00,,
813270,Carcaça BV3 superior,6,Pivo e Furadeiras,23/10/2025 00:00:00,,
813259,Carcaça New BV com encoder,1,Furadeiras,23/10/2025 00:00:00,,
813258,Carcaça New BV inferior,7,NBV e furadeiras,23/10/2025 00:00:00,,
813265,Carcaça New BV superior,3,NBV e furadeiras,23/10/2025 00:00:00,,
813096,Engrenagem ext DZ nova,42,Roginei,23/10/2025 00:00:00,,
813243,Engrenagem ext industrial,1,Roginei,23/10/2025 00:00:00,,
813281,Suporte orelha do BV,50,Kit,23/10/2025 00:00:00,,
813171,Base do Pivo,1,Pivo,27/10/2025 00:00:00,,
813054,Mancal inferior BV,28,Cirley,27/10/2025 00:00:00,,
813033,Tampa da ventoinha,12,Pivo,27/10/2025 00:00:00,,
813039,Veneziana,82,Pivo e Julio,27/10/2025 00:00:00,,
813199,Base de alumínio DZ,1,,04/11/2025 00:00:00,,
813241,Base Inferior Industrial,1,,04/11/2025 00:00:00,,
813153,Base superior Industrial,1,,04/11/2025 00:00:00,,
813270,Carcaça BV3 superior,1,Furadeiras,04/11/2025 00:00:00,,
813259,Carcaça New BV com encoder,18,Furadeiras,04/11/2025 00:00:00,,
813258,Carcaça New BV inferior,2,Furadeiras,04/11/2025 00:00:00,,
