id,id_inspecao,op,codigo,descricao,quantidade_programada,inspecao_completa,quantidade_nc,codigo_nc,observacao,codigo_item,descricao_item,destino,sem_fim,central,inspecoes,tensao
18,12,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Tampa,tampa,Nacional,,,0,
19,12,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Manual,manual,Nacional,,,0,
20,12,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Cilindro e chave,cilindro_e_chave,Nacional,,,0,
21,12,97600,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,True,0,,,2006041,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
13,13,95317,2006151,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,500,True,0,,,2006151,Estator,estator,Exportação,1 entrada,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,0,127
14,13,95317,2006151,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,500,True,0,,,2006151,Sem fim,sem_fim,Exportação,1 entrada,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,0,127
15,13,95317,2006151,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,500,True,0,,,2006151,Engrenagem,engrenagem,Exportação,1 entrada,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,0,127
16,13,95317,2006151,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,500,True,0,,,2006151,Capacitor,capacitor,Exportação,1 entrada,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,0,127
17,13,95317,2006151,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,500,True,0,,,2006151,Placa,placa,Exportação,1 entrada,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,0,127
18,13,95317,2006151,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,500,True,0,,,2006151,Base,base,Exportação,1 entrada,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,0,127
19,13,95317,2006151,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,500,True,0,,,2006151,Tampa,tampa,Exportação,1 entrada,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,0,127
20,13,95317,2006151,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,500,True,0,,,2006151,Manual,manual,Exportação,1 entrada,Inteligente - Izzy 500 127V 50-60Hz C/Cremalheira Door Line EX,0,127
