CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,CARENAGEM,ESTATOR E SEM FIM,CAPACITOR,KIT DE INSTALAÇÃO
2007090,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V SEM ACIONAMENTO,FLEX,PRETA PIVO,P28 60HZ 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007091,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V SEM ACIONAMENTO - DUPLO,DUPLA,PRETA PIVO,P28 60HZ 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007092,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V SEM ACIONAMENTO,FLEX,PRETA PIVO,P28 60HZ 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007093,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V SEM ACIONAMENTO - DUPLO,DUPLA,PRETA PIVO,P28 60HZ 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2007091,,,,,,
813465,"TUBO DE INOX CORTADO PARA PIVO 1,20M",,,,,
813464,"FUSO P 1/4 DE 1,0M PORCA LISA MOTOR SOLAR",,,,,
2007097,CONJ. MOVIMENTADOR INTELIGENTE IZZY TRINO PIVÔ 3 220V SEM ACIONAMENTO- DUPLO,DUPLA IZZY,PRETA PIVO,P33 COM MOLA E SEM FIM BV 2 ENT,12UF ,KIT DUPLO
2009014,CONJ. MOVIMENTADOR TRINO PIVO 3 220V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA PIVO,P33 220V 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF,SEM KIT
2007101,CONJUNTO MOVIMENTADOR INTELIGENTE IZZY TRINO PIVÔ 3 220V - 1M - DUPLO EX,DUPLA IZZY,PRETA PIVO,P33 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF ,KIT DUPLO
2007100,"CONJUNTO MOVIMENTADOR INTELIGENTE IZZY TRINO PIVÔ 3 220V - 0,75M - DUPLO EX",DUPLA IZZY,PRETA PIVO,P33 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF ,KIT DUPLO
